ticker,date,totalvol,retailvol
AAPL,7/23/2020,197004432,94086856
AAPL,7/24/2020,185438864,91186096
AAPL,7/27/2020,121214192,59824644
AAPL,7/28/2020,103625500,56007624
AAPL,7/29/2020,90329256,46640708
AAPL,7/30/2020,158130020,65526940
AAPL,7/31/2020,374295468,182826476
AAPL,8/3/2020,308151388,164555196
AAPL,8/4/2020,172792368,97819876
AAPL,8/5/2020,121991952,68270964
AAPL,8/6/2020,202428900,119270392
AAPL,8/7/2020,198045612,105222076
AAPL,8/10/2020,212403424,122817532
AAPL,8/11/2020,187902376,95984492
AAPL,8/12/2020,165944820,91293992
AAPL,8/13/2020,210082064,126193880
AAPL,8/14/2020,165565208,96008704
AAPL,8/17/2020,119561444,62920460
AAPL,8/18/2020,105633540,55346972
AAPL,8/19/2020,145538008,78293732
AAPL,8/20/2020,126907188,66422352
AAPL,8/21/2020,338054640,178641408
AAPL,8/24/2020,345937768,188130044
AAPL,8/25/2020,211495788,115797728
AAPL,8/26/2020,163022268,86684428
AAPL,8/27/2020,155552384,76672520
AAPL,8/28/2020,187629916,81186196
AAPL,8/31/2020,225768339,108894019
AAPL,9/1/2020,152470142,78486085
AAPL,9/2/2020,200118991,103097126
AAPL,9/3/2020,257599640,125664556
AAPL,9/4/2020,332607163,166434054
AAPL,9/8/2020,231366563,110241987
AAPL,9/9/2020,176940455,92265535
AAPL,9/10/2020,182274391,96934688
AAPL,9/11/2020,180860325,101583998
AAPL,9/14/2020,140150087,75374903
AAPL,9/15/2020,184642039,112443901
AAPL,9/16/2020,155026675,81460850
AAPL,9/17/2020,178010968,93086254
AAPL,9/18/2020,287104882,127595953
AAPL,9/21/2020,195713815,111383840
AAPL,9/22/2020,183055373,107101174
AAPL,9/23/2020,150718671,79093748
AAPL,9/24/2020,167743349,96687980
AAPL,9/25/2020,149981441,84720126
AAPL,9/28/2020,137672403,74755085
AAPL,9/29/2020,100060526,59339022
AAPL,9/30/2020,142675184,73749989
AAPL,10/1/2020,116120440,63597318
AAPL,10/2/2020,144711986,73643596
AAPL,10/5/2020,106243839,58506117
AAPL,10/6/2020,161498212,86764608
AAPL,10/7/2020,96848985,51228861
