date,ticker,open,close,high,low,vol
20/12/2019,NFLX,335,336.89999,338,330.60001,9953072
23/12/2019,NFLX,337.76001,333.10001,337.95001,331.02011,5755569
24/12/2019,NFLX,334.01001,333.20001,335.70001,331.60001,2014704
26/12/2019,NFLX,334.60001,332.63,336.46231,332.01001,3584898
27/12/2019,NFLX,332.95999,329.09,333.82001,326.01001,5022167
30/12/2019,NFLX,329.07999,323.31,329.185,322.85999,4296155
31/12/2019,NFLX,322,323.57001,324.91599,321.09,3703469
2/1/2020,NFLX,326.10001,329.81,329.98001,324.78,4344793
3/1/2020,NFLX,326.78,325.89999,329.85989,325.53,3775354
6/1/2020,NFLX,323.12,335.82999,336.35999,321.20001,5654995
7/1/2020,NFLX,336.47,330.75,336.70001,330.29999,4733422
