RP_ENTITY_ID,RELEVANCE,ESS,RPNA_DATE_UTC,RPNA_TIME_UTC
0157B1,100,64,6/23/2020,00:13.0
0157B1,100,64,6/23/2020,00:16.4
0157B1,100,61,7/8/2020,00:02.8
0157B1,100,61,7/9/2020,00:04.8
0157B1,100,61,7/15/2020,00:02.4
0157B1,100,50,7/16/2020,01:00.5
0157B1,100,65,7/22/2020,45:00.8
0157B1,100,61,7/22/2020,30:03.0
0157B1,100,69,7/28/2020,00:08.7
0157B1,100,61,7/29/2020,30:09.1
0157B1,100,50,7/30/2020,08:00.7
0157B1,100,50,7/30/2020,08:00.7
0157B1,100,50,7/30/2020,08:00.7
0157B1,100,50,7/30/2020,08:00.7
0157B1,100,50,7/30/2020,08:00.7
0157B1,100,50,7/30/2020,08:00.7
0157B1,100,50,7/30/2020,08:00.7
0157B1,100,61,8/3/2020,54:00.3
0157B1,100,61,8/3/2020,00:03.4
0157B1,100,69,8/6/2020,00:00.4
0157B1,100,57,8/11/2020,00:00.5
0157B1,100,65,8/13/2020,00:02.1
0157B1,100,65,8/18/2020,00:01.3
0157B1,100,61,8/19/2020,00:00.4
0157B1,100,61,8/19/2020,00:00.7
0157B1,100,61,8/19/2020,00:05.4
0157B1,100,61,8/19/2020,01:03.5
0157B1,100,61,8/20/2020,00:01.8
0157B1,100,61,8/27/2020,00:03.9
0157B1,100,61,8/27/2020,00:05.6
0157B1,100,61,8/27/2020,00:11.7
0157B1,100,61,8/27/2020,00:07.7
0157B1,100,61,9/1/2020,00:06.8
0157B1,100,64,9/2/2020,00:05.5
0157B1,100,61,9/2/2020,55:04.4
0157B1,100,61,9/8/2020,00:11.4
0157B1,100,61,9/9/2020,00:02.2
0157B1,100,61,9/9/2020,00:03.0
0157B1,100,65,9/9/2020,00:13.3
0157B1,100,64,9/9/2020,00:17.0
0157B1,100,61,9/10/2020,53:00.4
0157B1,100,65,9/14/2020,01:00.4
0157B1,100,69,9/16/2020,00:00.7
0157B1,100,61,9/21/2020,05:00.5
0157B1,100,61,9/23/2020,00:18.0
0157B1,100,65,9/28/2020,01:01.5
0157B1,100,61,9/28/2020,00:09.6
0157B1,100,22,9/28/2020,53:28.2
0157B1,100,61,9/29/2020,00:24.0
0157B1,100,61,10/2/2020,00:00.8
0157B1,100,61,10/7/2020,45:00.3
0157B1,100,61,10/8/2020,55:00.4
0157B1,100,61,10/14/2020,00:03.3
0157B1,100,50,10/15/2020,01:00.3
0157B1,100,61,10/16/2020,52:00.3
0157B1,100,61,10/16/2020,26:00.4
0157B1,100,61,10/16/2020,47:00.4
0157B1,100,65,10/16/2020,40:00.3
0157B1,100,64,10/20/2020,49:05.6
0157B1,100,61,10/21/2020,00:00.6
0157B1,100,65,10/21/2020,03:02.5
0157B1,100,61,10/22/2020,00:15.9
0157B1,100,61,10/22/2020,00:15.9
0157B1,100,65,10/23/2020,40:00.4
0157B1,100,65,10/27/2020,45:00.4
0157B1,100,69,10/29/2020,00:04.5
0157B1,100,61,10/29/2020,00:00.6
0157B1,100,50,10/29/2020,01:01.4
0157B1,100,50,10/29/2020,01:01.4
0157B1,100,50,10/29/2020,01:01.4
0157B1,100,50,10/29/2020,01:01.5
0157B1,100,50,10/29/2020,01:01.5
0157B1,100,50,10/29/2020,01:01.5
0157B1,100,50,10/29/2020,01:01.5
0157B1,100,50,10/29/2020,01:01.5
0157B1,100,65,10/30/2020,45:00.5
0157B1,100,65,11/2/2020,37:00.5
0157B1,100,65,11/2/2020,37:00.5
0157B1,100,65,11/5/2020,00:00.5
0157B1,100,61,11/10/2020,05:12.1
0157B1,100,61,11/12/2020,01:00.5
0157B1,100,44,11/12/2020,00:06.2
0157B1,100,61,11/16/2020,30:00.7
0157B1,100,69,11/17/2020,50:00.4
0157B1,100,61,11/17/2020,00:00.3
0157B1,100,54,11/17/2020,30:00.4
0157B1,100,54,11/18/2020,05:00.3
0157B1,100,64,11/18/2020,17:00.4
0157B1,100,61,11/18/2020,25:00.4
0157B1,100,61,11/25/2020,00:02.1
0157B1,100,61,12/1/2020,00:01.2
0157B1,100,61,12/1/2020,00:04.2
0157B1,100,61,12/2/2020,08:03.1
0157B1,100,61,12/2/2020,00:03.2
0157B1,100,61,12/2/2020,50:01.5
0157B1,100,65,12/3/2020,02:01.6
0157B1,100,61,12/3/2020,43:40.8
0157B1,100,61,12/7/2020,00:00.5
