Date,Ticker,OTC_Short,OTC_Total,DPI
3/4/2020,NFLX,996135,1822225,0.546658618
3/3/2020,NFLX,1609339,2921928,0.550779828
3/2/2020,NFLX,1423325,2332487,0.610217763
2/28/2020,NFLX,1753448,3524267,0.497535516
2/27/2020,NFLX,2240450,4448213,0.503674172
2/26/2020,NFLX,2006091,3316711,0.604843473
2/25/2020,NFLX,1045326,2079722,0.502627755
2/24/2020,NFLX,1065796,2023600,0.526683139
2/21/2020,NFLX,803745,1316249,0.610632943
2/20/2020,NFLX,967607,1669729,0.579499428
2/19/2020,NFLX,1067023,2013206,0.530011832
2/18/2020,NFLX,1048714,2033779,0.515647964
2/14/2020,NFLX,790895,1328945,0.595129972
2/13/2020,NFLX,1025249,1679921,0.61029596
2/12/2020,NFLX,957730,1792362,0.534339603
2/11/2020,NFLX,963946,1933496,0.498550812
2/10/2020,NFLX,883663,1628781,0.542530273
2/7/2020,NFLX,917576,1470718,0.623896627
2/6/2020,NFLX,867519,1397027,0.620975114
2/5/2020,NFLX,1363874,2359349,0.578072172
2/4/2020,NFLX,1227129,2255239,0.544123705
2/3/2020,NFLX,1229511,2190300,0.561343652
1/31/2020,NFLX,828402,1501733,0.551630683
1/30/2020,NFLX,1012537,1671114,0.605905402
1/29/2020,NFLX,1756276,2800929,0.627033388
1/28/2020,NFLX,1317814,2333217,0.564805588
1/27/2020,NFLX,1875359,3118452,0.601374977
1/24/2020,NFLX,4697268,7936237,0.591875974
1/23/2020,NFLX,4789698,8143365,0.588171843
1/22/2020,NFLX,5078581,9198884,0.552086644
1/21/2020,NFLX,2629768,4431726,0.593395891
1/17/2020,NFLX,846664,1506790,0.561899137
1/16/2020,NFLX,1186771,1775564,0.668391001
1/15/2020,NFLX,1122404,1824536,0.615172296
1/14/2020,NFLX,1092643,2108655,0.518170587
1/13/2020,NFLX,1366875,2343484,0.583266197
1/10/2020,NFLX,952310,1657856,0.574422628
1/9/2020,NFLX,987889,1717472,0.575199479
1/8/2020,NFLX,1746495,3080886,0.566880761
1/7/2020,NFLX,876106,1671101,0.524268731
1/6/2020,NFLX,1325378,2227419,0.595028596
1/3/2020,NFLX,580839,897500,0.647174373
1/2/2020,NFLX,875545,1551841,0.564197621
12/31/2019,NFLX,638516,1279750,0.498938074
12/30/2019,NFLX,765662,1439469,0.531905863
12/27/2019,NFLX,1102991,1960618,0.562573128
12/26/2019,NFLX,832906,1422681,0.585448179
12/24/2019,NFLX,457872,892812,0.512842569
12/23/2019,NFLX,591553,1143596,0.517274457
12/20/2019,NFLX,1962693,3077863,0.63768043
12/19/2019,NFLX,2674763,4114450,0.650090049
12/18/2019,NFLX,2380821,4362533,0.545742806
12/17/2019,NFLX,2420634,4388368,0.551602327
12/16/2019,NFLX,424495,896271,0.473623491
12/13/2019,NFLX,613694,1179299,0.520388807
12/12/2019,NFLX,990766,1907505,0.519404143
12/11/2019,NFLX,1261225,2222109,0.567580168
12/10/2019,NFLX,3050045,4831693,0.631258029
12/9/2019,NFLX,1065852,2293120,0.464804284
12/6/2019,NFLX,1090237,1761335,0.618983328
12/5/2019,NFLX,971834,1928101,0.504036874
12/4/2019,NFLX,784659,1360030,0.57694242
12/3/2019,NFLX,1037621,1908548,0.543670371
12/2/2019,NFLX,1057633,2452039,0.431327968
11/29/2019,NFLX,532292,918491,0.579528814
11/27/2019,NFLX,1002136,1746929,0.573655827
11/26/2019,NFLX,967277,1583288,0.610929281
11/25/2019,NFLX,2407695,3548426,0.678524788
11/22/2019,NFLX,1731210,2724762,0.635361914
11/21/2019,NFLX,2017172,3403065,0.592751534
11/20/2019,NFLX,1165684,1906157,0.611536196
11/19/2019,NFLX,1135416,2123662,0.534650053
11/18/2019,NFLX,1984801,3403846,0.583105405
11/15/2019,NFLX,1530509,2399919,0.637733607
11/14/2019,NFLX,1665831,2734255,0.609244931
11/13/2019,NFLX,2602851,3902096,0.667039202
11/12/2019,NFLX,1360986,2186622,0.622414848
11/11/2019,NFLX,919447,1498449,0.613599128
11/8/2019,NFLX,944802,1500176,0.629794104
11/7/2019,NFLX,1325964,2313247,0.573204677
11/6/2019,NFLX,404599,794488,0.509257534
11/5/2019,NFLX,986037,1580745,0.623779927
11/4/2019,NFLX,1484644,2402290,0.61801198
11/1/2019,NFLX,582800,1080960,0.539150385
10/31/2019,NFLX,925505,1551664,0.596459672
10/30/2019,NFLX,2515994,3962025,0.63502729
10/29/2019,NFLX,1007013,1668708,0.603468672
10/28/2019,NFLX,1667758,2742910,0.608025054
10/25/2019,NFLX,997159,1654379,0.602739155
10/24/2019,NFLX,1055729,1853236,0.569667867
10/23/2019,NFLX,1810278,2763254,0.655125443
10/22/2019,NFLX,2719494,5025692,0.541118318
10/21/2019,NFLX,3493192,5841977,0.597946894
10/18/2019,NFLX,5382732,9900795,0.543666645
10/17/2019,NFLX,8954565,16549345,0.541082744
10/16/2019,NFLX,2149170,5285700,0.406600829
10/15/2019,NFLX,1162201,2826828,0.411132549
10/14/2019,NFLX,1003191,2378387,0.421794687
10/11/2019,NFLX,1456296,3257675,0.447035386
10/10/2019,NFLX,2055565,4026727,0.510480348
10/9/2019,NFLX,1204096,2556383,0.471015493
10/8/2019,NFLX,759685,1907832,0.398192818
10/7/2019,NFLX,666166,1517625,0.438952969
10/4/2019,NFLX,1724293,3809252,0.45265921
10/3/2019,NFLX,1443970,3528734,0.409203414
10/2/2019,NFLX,1185661,2616388,0.453167114
10/1/2019,NFLX,1355643,3267944,0.414830548
9/30/2019,NFLX,641742,1846829,0.347483173
9/27/2019,NFLX,740092,1784172,0.414809783
9/26/2019,NFLX,1516920,3462544,0.438094072
9/25/2019,NFLX,1792142,4838288,0.370408293
9/24/2019,NFLX,2003591,7542967,0.265623726
9/23/2019,NFLX,2214568,6121032,0.361796508
9/20/2019,NFLX,2949879,9290523,0.317514848
9/19/2019,NFLX,1250991,3325299,0.376204065
9/18/2019,NFLX,1244500,3038038,0.409639379
9/17/2019,NFLX,828821,1939392,0.427361256
9/16/2019,NFLX,987315,2307412,0.427888474
9/13/2019,NFLX,1176909,2599583,0.452729919
9/12/2019,NFLX,890155,2060473,0.432014882
9/11/2019,NFLX,1410833,2976244,0.474031363
9/10/2019,NFLX,2478506,5165087,0.479857551
9/9/2019,NFLX,1233733,3037784,0.406129271
9/6/2019,NFLX,742405,1941668,0.382354244
9/5/2019,NFLX,1820687,4001714,0.454976792
9/4/2019,NFLX,917835,1975940,0.464505501
9/3/2019,NFLX,573880,1313858,0.436789973
8/30/2019,NFLX,688194,1606731,0.428319364
8/29/2019,NFLX,411456,1040939,0.395273883
8/28/2019,NFLX,532975,1565319,0.340489702
8/27/2019,NFLX,857667,2459822,0.348670351
8/26/2019,NFLX,687700,1970081,0.349071942
8/23/2019,NFLX,1015454,2521736,0.402680534
8/22/2019,NFLX,848636,2269123,0.373992948
8/21/2019,NFLX,991458,2570326,0.385732394
8/20/2019,NFLX,908100,1962829,0.462648555
8/19/2019,NFLX,622433,1915915,0.32487506
8/16/2019,NFLX,1122177,2712216,0.413749126
8/15/2019,NFLX,1484437,4188693,0.354391453
8/14/2019,NFLX,1222959,2954560,0.413922547
8/13/2019,NFLX,751319,2205912,0.340593369
8/12/2019,NFLX,1079803,2684293,0.402267189
8/9/2019,NFLX,921025,2461164,0.374223335
8/8/2019,NFLX,849900,2376156,0.357678536
8/7/2019,NFLX,1289184,3903774,0.330240429
8/6/2019,NFLX,877824,2238515,0.392145686
8/5/2019,NFLX,1318716,3320976,0.397086881
8/2/2019,NFLX,995688,2146007,0.463972392
8/1/2019,NFLX,1049301,2612172,0.401696749
7/31/2019,NFLX,1234556,2786436,0.443059162
7/30/2019,NFLX,692267,1605190,0.43126795
7/29/2019,NFLX,900931,2795162,0.322317991
7/26/2019,NFLX,1880942,4474098,0.420406974
7/25/2019,NFLX,1891182,4532686,0.417232078
7/24/2019,NFLX,2126497,5406411,0.393328772
7/23/2019,NFLX,1645391,4378995,0.375746261
7/22/2019,NFLX,2802798,8290749,0.338063304
7/19/2019,NFLX,2661981,6432167,0.41385446
7/18/2019,NFLX,5158352,11885397,0.434007547
7/17/2019,NFLX,1092853,2816437,0.388026787
7/16/2019,NFLX,1000035,2529250,0.395387961
7/15/2019,NFLX,1875246,3324363,0.564091828
7/12/2019,NFLX,1241065,2549822,0.486726132
7/11/2019,NFLX,645694,1604522,0.402421407
7/10/2019,NFLX,1064671,2434620,0.437304795
7/9/2019,NFLX,1193034,2938064,0.40606127
7/8/2019,NFLX,464148,1162023,0.399430992
7/5/2019,NFLX,897794,1502599,0.597494075
7/3/2019,NFLX,786117,1322966,0.594208014
7/2/2019,NFLX,847458,1329892,0.637238212
7/1/2019,NFLX,930725,1845906,0.504210399
6/28/2019,NFLX,742557,1488012,0.499026218
6/27/2019,NFLX,896675,1496169,0.599313981
6/26/2019,NFLX,740151,1280792,0.577885402
6/25/2019,NFLX,1136269,2175527,0.522295977
6/24/2019,NFLX,1109714,1816721,0.610833474
6/21/2019,NFLX,1221095,2052464,0.594941008
6/20/2019,NFLX,937201,2125068,0.441021652
6/19/2019,NFLX,1083822,2214088,0.489511709
6/18/2019,NFLX,785526,1763459,0.445446137
6/17/2019,NFLX,1026008,2174722,0.471788118
6/14/2019,NFLX,1009520,1847957,0.546289768
6/13/2019,NFLX,1418650,2708039,0.523866163
6/12/2019,NFLX,1014512,1953033,0.519454612
6/11/2019,NFLX,1209999,2057907,0.58797555
6/10/2019,NFLX,1665671,3388381,0.491583148
6/7/2019,NFLX,1088830,1916445,0.568150925
6/6/2019,NFLX,842041,1425028,0.590894354
6/5/2019,NFLX,1267386,2159247,0.586957398
6/4/2019,NFLX,1770402,3096218,0.571795009
6/3/2019,NFLX,1601551,3176448,0.504195567
5/31/2019,NFLX,1031644,1740204,0.592829346
5/30/2019,NFLX,865244,1560056,0.55462368
5/29/2019,NFLX,1048442,1711682,0.612521485
5/28/2019,NFLX,857744,1466870,0.584744388
5/24/2019,NFLX,747644,1307574,0.571779494
5/23/2019,NFLX,1293543,2005814,0.644896785
5/22/2019,NFLX,1365714,2297678,0.59438877
5/21/2019,NFLX,888632,1395166,0.636936393
5/20/2019,NFLX,860753,1648883,0.522021878
5/17/2019,NFLX,1092702,1735157,0.629742438
5/16/2019,NFLX,1188643,2423221,0.490521913
5/15/2019,NFLX,1245607,2316494,0.537712163
5/14/2019,NFLX,1106789,2071085,0.534400568
5/13/2019,NFLX,1648679,3195290,0.515971633
5/10/2019,NFLX,1305612,2267509,0.57579132
5/9/2019,NFLX,1337434,2368564,0.564660275
5/8/2019,NFLX,1547859,2809856,0.550867731
5/7/2019,NFLX,1538738,2606295,0.590392876
5/6/2019,NFLX,1182051,2166563,0.545588104
5/3/2019,NFLX,1037507,2125481,0.488128099
5/2/2019,NFLX,1567041,2660170,0.58907551
5/1/2019,NFLX,1966590,4020371,0.489156349
4/30/2019,NFLX,878497,1682296,0.522201206
4/29/2019,NFLX,656606,1662480,0.394955729
4/26/2019,NFLX,1246110,2276214,0.547448526
4/25/2019,NFLX,1218318,2702629,0.450789953
4/24/2019,NFLX,1430590,2948521,0.485189015
4/23/2019,NFLX,2317849,4856434,0.47727386
4/22/2019,NFLX,2186045,5251764,0.416249664
4/18/2019,NFLX,2277667,3833852,0.594093617
4/17/2019,NFLX,5416325,8793208,0.615966892
